,organisation,effectif
0,law school,6580
1,university,5845
2,public university,5806
3,open-access publisher,5408
4,private not-for-profit educational institution,5008
5,public research university,3876
6,public educational institution of the united states,3289
7,private university,2864
8,organization,2472
9,research university,2366
10,academic publisher,1872
11,comprehensive university,1849
12,faculty,1341
13,high school,1246
14,land-grant university,1230
15,publishing company,1085
16,university building,1045
17,colonial colleges,977
18,supreme court,913
19,boarding school,800
20,school,788
21,college,744
22,graduate school,741
23,university of excellence,725
24,nonprofit organization,703
25,educational institution,689
26,educational organization,683
27,independent school,656
28,faculty of law,637
29,federal courts (germany),606
30,higher education institution,586
31,liberal arts college,566
32,college of the university of oxford,565
33,learned society,506
34,national academy,504
35,research institute,501
36,college of the university of cambridge,467
37,public school,433
38,local internet registry,405
39,secondary school,398
40,catholic university,389
41,german student corps,379
42,inns of court,378
43,university campus,365
44,academy of sciences,359
45,liberal arts college in the united states,354
46,national university,312
47,collegiate university,305
48,academic institution,303
49,production company,282
50,boys' school,268
51,campus university,258
52,school building,252
53,paramilitary organization,232
54,colleges that change lives,230
55,university in quebec,228
56,political organization,174
57,non-governmental organization,174
58,studentenverbindung,158
59,university in france,155
60,charitable organization,155
61,building complex,155
62,historically black college or university,154
63,business,154
64,church college,153
65,swedish government agency,153
66,state public university,152
67,sun grant institution,151
68,ancient university,151
69,burschenschaft,150
70,government agency,149
71,political faction,146
72,private school,142
73,state university system,140
74,pontifical university,137
75,building,119
76,court,117
77,academic department,117
78,geographic location,114
79,university in ontario,113
80,public educational institution,112
81,constitutional court,110
82,university-preparatory school,110
83,catholic school,106
84,collection,98
85,military academy,97
86,sea grant institution,97
87,stiftungshochschule,96
88,jesuit university,95
89,university of applied sciences,93
90,primary school,92
91,academy,92
92,military organization,88
93,type of educational institution,86
94,business school,86
95,squadron,85
96,united nations depository library,83
97,workplace,82
98,university college,81
99,voluntary association,81
100,educational stage,81
101,gymnasium,81
102,former entity,80
103,grammar school,80
104,honor society,79
105,higher education institution directly under ministry of education of the people’s republic of china,78
106,justice ministry,77
107,constituent college,77
108,exempt charity,72
109,women's college,71
110,czech research institution,70
111,vice-ministerial level university,66
112,international organization,63
113,law firm,63
114,international court,62
115,archive,62
