,typesOrg,number,numberOrg
0,law school,4047,1
1,university,1357,1
2,open-access publisher | public university,893,2
3,public university,854,1
4,high school,826,1
5,public educational institution of the united states | public research university,803,2
6,graduate school | law school | publishing company,667,3
7,private not-for-profit educational institution | university,631,2
8,federal courts (germany) | supreme court,600,2
9,academic publisher | law school,504,2
10,open-access publisher | university,487,2
11,faculty | law school,477,2
12,college,401,1
13,private not-for-profit educational institution | private university,375,2
14,german student corps,365,1
15,school,361,1
16,land-grant university | public educational institution of the united states | public research university,346,3
17,college of the university of oxford | university building,312,2
18,colonial colleges | private not-for-profit educational institution | private university | research university,302,4
19,public educational institution of the united states | university,285,2
20,law school | private not-for-profit educational institution,266,2
21,open-access publisher | private not-for-profit educational institution | private university | research university,264,4
22,supreme court,261,1
23,organization,260,1
24,college of the university of cambridge | university building,250,2
25,liberal arts college | private not-for-profit educational institution,243,2
26,comprehensive university | public university,240,2
27,public educational institution of the united states | public university,240,2
28,public research university,234,1
29,liberal arts college in the united states | private not-for-profit educational institution,228,2
30,faculty | law school | organization,227,3
31,faculty | faculty of law | research institute,217,3
32,public educational institution of the united states | public university | research university,215,3
33,faculty of law,214,1
34,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,210,5
35,public university | university,208,2
36,educational institution | inns of court | university building,175,3
37,inns of court,166,1
38,open-access publisher | public research university | university in quebec,165,3
39,learned society | national academy | non-governmental organization | nonprofit organization,153,4
40,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,151,6
41,ancient university | open-access publisher | organization | public university,151,4
42,building complex | college of the university of oxford,150,2
43,comprehensive university | public research university | public university | university of excellence,146,4
44,open-access publisher | private not-for-profit educational institution | university,144,3
45,colonial colleges | organization | private not-for-profit educational institution | private university | research university,143,5
46,paramilitary organization | political faction | political organization,141,3
47,comprehensive university | local internet registry | public university,139,3
48,organization | university,137,2
49,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,137,6
50,academic publisher | private university,137,2
51,burschenschaft,135,1
52,secondary school,133,1
53,comprehensive university | open-access publisher | public research university | university of excellence,131,4
54,comprehensive university | open-access publisher | public university,127,3
55,faculty,124,1
56,educational organization | higher education institution | open-access publisher | university,121,4
57,organization | public university,121,2
58,high school | public school,121,2
59,colleges that change lives | liberal arts college | private not-for-profit educational institution,117,3
60,open-access publisher | public research university,117,2
61,academic department | college of the university of cambridge | educational institution | school building | university | university building,116,6
62,college | private not-for-profit educational institution,112,2
63,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,108,6
64,comprehensive university | local internet registry | public research university | public university | publishing company | university of excellence,107,6
65,geographic location | university,105,2
66,collegiate university | nonprofit organization,103,2
67,colonial colleges | open-access publisher | private not-for-profit educational institution | private university | research university,102,5
68,studentenverbindung,102,1
69,academic publisher | learned society | nonprofit organization,102,3
70,private not-for-profit educational institution | private university | research university,101,3
71,college of the university of oxford,101,1
72,private university,100,1
73,public educational institution of the united states | public research university | university,97,3
74,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,96,5
75,boarding school | boys' school | independent school | public school,96,4
76,boarding school | independent school,94,2
77,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,91,5
78,state public university,91,1
79,open-access publisher | organization | public university,88,3
80,independent school,85,1
81,military organization | paramilitary organization | squadron,85,3
82,land-grant university | public educational institution of the united states | public university | research university,85,4
