,token,effectif
0,university,19487
1,public,10566
2,school,10305
3,institution,10236
4,educational,9846
5,law,7289
6,publisher,7142
7,research,6799
8,private,5689
9,open-access,5408
10,not-for-profit,5011
11,the,4935
12,organization,4270
13,united,3781
14,states,3753
15,college,3292
16,academic,2316
17,comprehensive,1868
18,court,1810
19,faculty,1685
20,building,1453
21,company,1411
22,high,1384
23,land-grant,1230
24,colleges,1208
25,publishing,1085
26,colonial,980
27,supreme,941
28,arts,933
29,liberal,920
30,national,873
31,academy,848
32,boarding,800
33,graduate,752
34,excellence,725
35,nonprofit,704
36,education,699
37,higher,697
38,federal,689
39,independent,669
40,(germany),626
41,campus,623
42,society,623
43,courts,618
44,catholic,580
45,oxford,566
46,institute,566
47,learned,506
48,cambridge,467
49,sciences,461
50,secondary,443
51,local,425
52,internet,405
53,german,405
54,registry,405
55,government,401
56,student,391
57,state,389
58,corps,382
59,inns,378
60,agency,354
61,boys',314
62,collegiate,307
63,production,283
64,grant,264
65,military,264
66,business,241
67,paramilitary,232
68,ministry,232
69,political,231
70,that,230
71,lives,230
72,change,230
73,quebec,228
74,association,202
75,system,195
76,swedish,193
77,non-governmental,182
78,department,168
79,international,164
80,ancient,164
81,france,160
82,church,158
83,studentenverbindung,158
84,complex,156
85,charitable,156
86,black,154
87,historically,154
88,sun,151
89,burschenschaft,150
90,faction,146
91,pontifical,139
92,gymnasium,129
93,group,123
94,jesuit,122
95,constitutional,122
96,location,114
97,geographic,114
98,ontario,113
99,former,112
100,university-preparatory,110
101,library,109
102,nations,102
103,collection,99
104,sea,98
105,stiftungshochschule,96
106,applied,94
107,voluntary,93
108,primary,92
109,district,89
110,women's,88
111,seminary,87
112,entity,87
113,justice,86
114,type,86
115,squadron,85
116,under,85
117,directly,84
118,constituent,83
119,depository,83
120,republic,82
121,workplace,82
122,stage,81
123,grammar,80
124,honor,79
125,china,78
126,people’s,78
127,level,72
128,exempt,72
129,charity,72
130,czech,71
131,assembly,69
132,vice-ministerial,66
133,firm,64
134,archive,64
135,intergovernmental,61
136,cultural,61
137,council,60
138,central,60
139,regulatory,60
140,germany,58
141,club,58
142,and,58
143,museum,58
144,community,56
145,executive,55
146,legislative,55
147,heritage,55
148,service,54
149,ottoman,53
150,body,53
151,architectural,53
152,girls',52
153,social,52
154,day,52
155,term,51
156,arboretum,51
157,space,49
158,language,48
159,fraternal,46
160,imperial,46
161,"studentenverbindung,",45
162,civil,45
163,technology,45
164,école,44
165,property,44
166,royal,43
167,unit,42
168,academies,41
169,u.s.,40
170,commission,40
171,scotia,40
172,nova,40
173,regulator,40
174,union,40
