,typesOrg,orgMainType,number,numberOrg
1412,law school,educational institution,4047,1
1988,university,university,1357,1
1656,open-access publisher | public university,public university,893,2
1840,public university,public university,854,1
1141,high school,educational institution,826,1
1806,public educational institution of the united states | public research university,university,803,2
1088,graduate school | law school | publishing company,educational institution,667,3
1780,private not-for-profit educational institution | university,university,631,2
959,federal courts (germany) | supreme court,not classified organisation,600,2
52,academic publisher | law school,educational institution,504,2
1665,open-access publisher | university,university,487,2
947,faculty | law school,university,477,2
600,college,educational institution,401,1
1770,private not-for-profit educational institution | private university,private university,375,2
1033,german student corps,not classified organisation,365,1
1891,school,educational institution,361,1
1374,land-grant university | public educational institution of the united states | public research university,university,346,3
613,college of the university of oxford | university building,university,312,2
660,colonial colleges | private not-for-profit educational institution | private university | research university,private university,302,4
1815,public educational institution of the united states | university,university,285,2
1416,law school | private not-for-profit educational institution,educational institution,266,2
1627,open-access publisher | private not-for-profit educational institution | private university | research university,private university,264,4
1958,supreme court,not classified organisation,261,1
1672,organization,not classified organisation,260,1
611,college of the university of cambridge | university building,university,250,2
1451,liberal arts college | private not-for-profit educational institution,educational institution,243,2
701,comprehensive university | public university,public university,240,2
1809,public educational institution of the united states | public university,public university,240,2
1827,public research university,university,234,1
1446,liberal arts college in the united states | private not-for-profit educational institution,educational institution,228,2
948,faculty | law school | organization,university,227,3
944,faculty | faculty of law | research institute,university,217,3
1810,public educational institution of the united states | public university | research university,public university,215,3
936,faculty of law,university,214,1
42,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,private university,210,5
1845,public university | university,public university,208,2
841,educational institution | inns of court | university building,university,175,3
1258,inns of court,not classified organisation,166,1
1654,open-access publisher | public research university | university in quebec,university,165,3
1426,learned society | national academy | non-governmental organization | nonprofit organization,learned society,153,4
41,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,private university,151,6
170,ancient university | open-access publisher | organization | public university,public university,151,4
381,building complex | college of the university of oxford,university,150,2
700,comprehensive university | public research university | public university | university of excellence,public university,146,4
1631,open-access publisher | private not-for-profit educational institution | university,university,144,3
659,colonial colleges | organization | private not-for-profit educational institution | private university | research university,private university,143,5
1716,paramilitary organization | political faction | political organization,not classified organisation,141,3
689,comprehensive university | local internet registry | public university,public university,139,3
1705,organization | university,university,137,2
694,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,public university,137,6
63,academic publisher | private university,private university,137,2
410,burschenschaft,not classified organisation,135,1
1908,secondary school,educational institution,133,1
695,comprehensive university | open-access publisher | public research university | university of excellence,university,131,4
696,comprehensive university | open-access publisher | public university,public university,127,3
935,faculty,university,124,1
882,educational organization | higher education institution | open-access publisher | university,university,121,4
1687,organization | public university,public university,121,2
1161,high school | public school,educational institution,121,2
644,colleges that change lives | liberal arts college | private not-for-profit educational institution,educational institution,117,3
1648,open-access publisher | public research university,university,117,2
6,academic department | college of the university of cambridge | educational institution | school building | university | university building,university,116,6
629,college | private not-for-profit educational institution,educational institution,112,2
692,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,public university,108,6
688,comprehensive university | local internet registry | public research university | public university | publishing company | university of excellence,public university,107,6
1027,geographic location | university,university,105,2
651,collegiate university | nonprofit organization,university,103,2
658,colonial colleges | open-access publisher | private not-for-profit educational institution | private university | research university,private university,102,5
1950,studentenverbindung,not classified organisation,102,1
54,academic publisher | learned society | nonprofit organization,learned society,102,3
1772,private not-for-profit educational institution | private university | research university,private university,101,3
612,college of the university of oxford,university,101,1
1790,private university,private university,100,1
1807,public educational institution of the united states | public research university | university,university,97,3
458,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,public university,96,5
278,boarding school | boys' school | independent school | public school,educational institution,96,4
320,boarding school | independent school,educational institution,94,2
1373,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,private university,91,5
1944,state public university,public university,91,1
1612,open-access publisher | organization | public university,public university,88,3
1256,independent school,educational institution,85,1
1504,military organization | paramilitary organization | squadron,not classified organisation,85,3
1383,land-grant university | public educational institution of the united states | public university | research university,public university,85,4
1368,land-grant university | open-access publisher | public educational institution of the united states | public research university | public university,public university,85,5
1685,organization | public research university,university,85,2
520,catholic university | private not-for-profit educational institution | private university | research university,private university,84,4
464,campus university | university,university,83,2
1379,land-grant university | public educational institution of the united states | public research university | united nations depository library,university,83,4
1773,private not-for-profit educational institution | private university | research university | workplace,private university,82,4
827,educational institution,educational institution,80,1
37,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,private university,80,5
446,business | open-access publisher | public university,public university,80,3
19,academic institution | faculty of law,university,80,2
898,educational stage | type of educational institution,educational institution,80,2
1960,swedish government agency | university,university,78,2
686,comprehensive university | local internet registry | open-access publisher | public university,public university,77,4
48,academic publisher | honor society | learned society | organization,learned society,76,4
1702,organization | swedish government agency | university,university,74,3
738,court,not classified organisation,73,1
697,comprehensive university | open-access publisher | public university | university of applied sciences,public university,71,4
267,boarding school,educational institution,71,1
1367,land-grant university | open-access publisher | public educational institution of the united states | public research university,university,70,4
1991,university in france,university,70,1
323,boarding school | independent school | public school,educational institution,70,3
43,academic publisher | comprehensive university | national university | university,university,70,4
657,colonial colleges | land-grant university | public research university | sea grant institution,university,69,4
1417,law school | private university,private university,68,2
648,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,public university,67,6
502,catholic university,university,67,1
1781,private not-for-profit educational institution | university | university campus,university,67,3
1658,open-access publisher | public university | research institute,public university,67,3
90,academy of sciences | national academy,academy of sciences,66,2
687,comprehensive university | local internet registry | organization | public university,public university,65,4
999,former entity | university in france,university,65,2
716,constitutional court,not classified organisation,63,1
1626,open-access publisher | private not-for-profit educational institution | private university,private university,61,3
1454,liberal arts college | private not-for-profit educational institution | university,university,61,3
642,colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution,educational institution,61,3
650,collegiate university | educational organization | organization | public research university,university,61,4
702,comprehensive university | public university | university of excellence,public university,61,3
942,faculty | faculty of law,university,61,2
17,academic institution | educational organization | higher education institution | university college,university,60,4
949,faculty | law school | school,university,60,3
886,educational organization | higher education institution | public research university,university,59,3
1651,open-access publisher | public research university | university,university,57,3
772,czech research institution | organization | public university | publishing company | university,public university,56,5
44,academic publisher | constituent college | educational organization | public research university,university,55,4
277,boarding school | boys' school | independent school,educational institution,55,3
1639,open-access publisher | public educational institution of the united states | public research university | publishing company,university,55,4
614,college | college of the university of cambridge | university building,university,55,3
59,academic publisher | open-access publisher | public university,public university,54,3
1660,open-access publisher | public university | university,public university,54,3
1945,state public university | university,public university,54,2
1688,organization | public university | research university,public university,54,3
1615,open-access publisher | ottoman association | university,university,53,3
1946,state university system,university,53,1
1177,higher education institution directly under ministry of education of the people’s republic of china | public university | vice-ministerial level university,public university,52,3
1110,gymnasium,educational institution,52,1
653,collegiate university | public research university | university in ontario,university,51,3
1369,land-grant university | open-access publisher | public educational institution of the united states | public university,public university,51,4
1166,high school | school building,educational institution,51,2
182,arboretum | open-access publisher | private not-for-profit educational institution | private university,private university,51,4
1554,national university | open-access publisher | research university | university system,university,50,4
1832,public research university | university in quebec,university,50,2
868,educational institution | state university system,university,50,2
10,academic institution,educational institution,50,1
1387,land-grant university | public educational institution of the united states | university,university,49,3
61,academic publisher | organization | public university,public university,49,3
1647,open-access publisher | public educational institution | university,university,48,3
71,academic publisher | university,university,47,2
53,academic publisher | law school | public educational institution of the united states | university,university,46,4
1406,law firm,not classified organisation,46,1
946,faculty | graduate school | law school | school,university,46,4
535,central university,university,45,1
1290,intergovernmental organization | international organization,company or gov. agency,45,2
519,catholic university | private not-for-profit educational institution,university,45,2
690,comprehensive university | national university | open-access publisher | research university,university,44,4
1876,research institute | university,university,43,2
581,church college | private not-for-profit educational institution | university,university,43,3
828,educational institution | educational organization | nonprofit organization | regulatory college,educational institution,42,4
590,civil service | government agency,company or gov. agency,42,2
1057,government agency,company or gov. agency,41,1
594,collection | comprehensive university | public university,public university,41,3
1774,private not-for-profit educational institution | research institute | university,university,41,3
57,academic publisher | national university | university,university,40,3
1828,public research university | public university,public university,40,2
1010,fraternal organization | social group,not classified organisation,40,2
1831,public research university | university in nova scotia,university,40,2
1769,private not-for-profit educational institution,educational institution,40,1
698,comprehensive university | organization | public research university | public university,public university,39,4
1633,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,private university,39,5
1677,organization | private not-for-profit educational institution | private university | production company,private university,39,4
1638,open-access publisher | public educational institution of the united states | public research university,university,39,3
233,association,not classified organisation,38,1
55,academic publisher | national university,university,38,2
1011,fraternity,not classified organisation,38,1
1365,land-grant university | neighborhood | public educational institution of the united states | public university | research university | sun grant institution,public university,37,6
578,church college | private not-for-profit educational institution | private university,private university,37,3
1424,learned society,learned society,37,1
1871,regional court,not classified organisation,37,1
1259,inns of court | university building,university,37,2
2010,voluntary association,not classified organisation,36,1
33,academic publisher | academy of sciences | national academy | quango,academy of sciences,36,4
1233,historically black college or university | public educational institution of the united states | university,university,35,3
1196,higher education institution | public educational institution of the united states,educational institution,35,2
1227,historically black college or university | private not-for-profit educational institution | private university,private university,35,3
62,academic publisher | private not-for-profit educational institution | university,university,35,3
459,campus university | comprehensive university | open-access publisher | public university,public university,35,4
487,catholic school | private not-for-profit educational institution | university,university,35,3
1623,open-access publisher | pontifical university | research university,university,35,3
418,business school,educational institution,35,1
306,boarding school | first school | primary school | private school | university-preparatory school,university,34,5
677,community college | public educational institution of the united states,educational institution,34,2
18,academic institution | faculty,university,34,2
1092,grammar school,educational institution,34,1
1782,private not-for-profit educational institution | university | women's college,university,34,3
703,comprehensive university | university,university,33,2
324,boarding school | independent school | public school | school,educational institution,33,4
1684,organization | public educational institution of the united states | public research university | university | university campus,university,32,5
1425,learned society | national academy,learned society,32,2
1250,imperial university of the russian empire,university,31,1
699,comprehensive university | organization | public university,public university,31,3
804,direct reporting unit | military academy | military museum | public educational institution of the united states,educational institution,31,4
950,faculty | law school | university building,university,31,3
1142,high school in south korea,educational institution,31,1
1172,higher education institution,educational institution,30,1
1653,open-access publisher | public research university | university in ontario,university,30,3
1331,jesuit university | private university | research university,private university,30,3
1575,nonprofit organization,scientific organisation,30,1
1493,military academy,educational institution,30,1
1829,public research university | university,university,30,2
609,college of the university of cambridge,university,30,1
2001,university-preparatory school,university,30,1
