,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
6128,http://www.wikidata.org/entity/Q108611355,http://www.wikidata.org/entity/Q108709886,University of Lagos|Nigerian Law School|Ahmadu Bello University,3,http://www.wikidata.org/entity/Q1782980|http://www.wikidata.org/entity/Q7032922|http://www.wikidata.org/entity/Q401034,1950-1974,1982.0,1993.0,1983.0,1994.0,1950-1974
32782,http://www.wikidata.org/entity/Q16091745,http://www.wikidata.org/entity/Q4685038,Loyola University New Orleans College of Law|University of Virginia School of Law|Loyola University New Orleans,3,http://www.wikidata.org/entity/Q6694614|http://www.wikidata.org/entity/Q7896545|http://www.wikidata.org/entity/Q172430,1925-1949,1949.0,1960.0,1947.0,1958.0,1925-1949
32484,http://www.wikidata.org/entity/Q16089710,http://www.wikidata.org/entity/Q6470610,Sydney Boys High School|University of Sydney|Sydney Law School,3,http://www.wikidata.org/entity/Q7659840|http://www.wikidata.org/entity/Q487556|http://www.wikidata.org/entity/Q7660015,1900-1924,1940.0,1951.0,1940.0,1951.0,1900-1924
63367,http://www.wikidata.org/entity/Q3944319,http://www.wikidata.org/entity/Q601378,Scuola Normale Superiore|Sant'Anna School of Advanced Studies|University of Pisa,3,http://www.wikidata.org/entity/Q672416|http://www.wikidata.org/entity/Q774609|http://www.wikidata.org/entity/Q645663,1925-1949,1953.0,1964.0,1955.0,1966.0,1925-1949
61406,http://www.wikidata.org/entity/Q336111,http://www.wikidata.org/entity/Q7365086,University of Dundee School of Law|University of St Andrews|University of Edinburgh,3,http://www.wikidata.org/entity/Q7895349|http://www.wikidata.org/entity/Q216273|http://www.wikidata.org/entity/Q160302,1925-1949,1967.0,1978.0,1963.0,1974.0,1925-1949
34006,http://www.wikidata.org/entity/Q16115080,http://www.wikidata.org/entity/Q1792585,Mississippi State University|University of Mississippi School of Law|University of Mississippi,3,http://www.wikidata.org/entity/Q1939211|http://www.wikidata.org/entity/Q14693404|http://www.wikidata.org/entity/Q1138384,1925-1949,1965.0,1976.0,1959.0,1970.0,1925-1949
57676,http://www.wikidata.org/entity/Q2633194,http://www.wikidata.org/entity/Q4409483,City College of New York|Brooklyn Law School|primary school,3,http://www.wikidata.org/entity/Q1093910|http://www.wikidata.org/entity/Q1812600|http://www.wikidata.org/entity/Q9842,1900-1924,1918.0,1929.0,1924.0,1935.0,1900-1924
18148,http://www.wikidata.org/entity/Q124526773,http://www.wikidata.org/entity/Q63104521,University of Hawaiʻi System|University of Michigan Law School|Maui High School,3,http://www.wikidata.org/entity/Q217439|http://www.wikidata.org/entity/Q911830|http://www.wikidata.org/entity/Q6792375,1900-1924,1935.0,1946.0,1931.0,1942.0,1900-1924
39351,http://www.wikidata.org/entity/Q1680173,http://www.wikidata.org/entity/Q764939,University of Edinburgh School of Law|Edinburgh Academy|University of Edinburgh,3,http://www.wikidata.org/entity/Q7895368|http://www.wikidata.org/entity/Q3047595|http://www.wikidata.org/entity/Q160302,1925-1949,1950.0,1961.0,1956.0,1967.0,1925-1949
57912,http://www.wikidata.org/entity/Q26923642,http://www.wikidata.org/entity/Q76898486,Ghana School of Law|Aburi Girls' Senior High School|University of Ghana,3,http://www.wikidata.org/entity/Q5555403|http://www.wikidata.org/entity/Q16733315|http://www.wikidata.org/entity/Q2303765,1925-1949,1962.0,1973.0,1967.0,1978.0,1925-1949
47035,http://www.wikidata.org/entity/Q1946678,http://www.wikidata.org/entity/Q4685038,Loyola University New Orleans|Jesuit High School|Loyola University New Orleans College of Law,3,http://www.wikidata.org/entity/Q172430|http://www.wikidata.org/entity/Q6188014|http://www.wikidata.org/entity/Q6694614,1925-1949,1948.0,1959.0,1947.0,1958.0,1925-1949
49361,http://www.wikidata.org/entity/Q202209,http://www.wikidata.org/entity/Q3944319,University of Pisa|Scuola Normale Superiore|Sant'Anna School of Advanced Studies,3,http://www.wikidata.org/entity/Q645663|http://www.wikidata.org/entity/Q672416|http://www.wikidata.org/entity/Q774609,1925-1949,1956.0,1967.0,1953.0,1964.0,1925-1949
49365,http://www.wikidata.org/entity/Q202209,http://www.wikidata.org/entity/Q601378,University of Pisa|Scuola Normale Superiore|Sant'Anna School of Advanced Studies,3,http://www.wikidata.org/entity/Q645663|http://www.wikidata.org/entity/Q672416|http://www.wikidata.org/entity/Q774609,1925-1949,1956.0,1967.0,1955.0,1966.0,1925-1949
20703,http://www.wikidata.org/entity/Q1317025,http://www.wikidata.org/entity/Q26923642,Ghana School of Law|Wesley Girls' High School|University of Ghana,3,http://www.wikidata.org/entity/Q5555403|http://www.wikidata.org/entity/Q7983927|http://www.wikidata.org/entity/Q2303765,1925-1949,1965.0,1976.0,1962.0,1973.0,1925-1949
6106,http://www.wikidata.org/entity/Q108611355,http://www.wikidata.org/entity/Q108611385,University of Lagos|Nigerian Law School|Ahmadu Bello University,3,http://www.wikidata.org/entity/Q1782980|http://www.wikidata.org/entity/Q7032922|http://www.wikidata.org/entity/Q401034,1950-1974,1982.0,1993.0,1983.0,1994.0,1950-1974
26665,http://www.wikidata.org/entity/Q15451766,http://www.wikidata.org/entity/Q4758186,New York University School of Law|Fordham University|Fordham University School of Law,3,http://www.wikidata.org/entity/Q846173|http://www.wikidata.org/entity/Q130965|http://www.wikidata.org/entity/Q5468082,1925-1949,1951.0,1962.0,1951.0,1962.0,1925-1949
31741,http://www.wikidata.org/entity/Q16031232,http://www.wikidata.org/entity/Q554988,Columbia Grammar & Preparatory School|Columbia University|Columbia Law School,3,http://www.wikidata.org/entity/Q5149700|http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q1149089,1825-1849,1864.0,1875.0,1868.0,1879.0,1850-1874
5984,http://www.wikidata.org/entity/Q108611021,http://www.wikidata.org/entity/Q108680628,University of Nigeria|University of Lagos|Nigerian Law School,3,http://www.wikidata.org/entity/Q927304|http://www.wikidata.org/entity/Q1782980|http://www.wikidata.org/entity/Q7032922,1950-1974,1983.0,1994.0,1982.0,1993.0,1950-1974
