p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,74105
http://www.wikidata.org/prop/direct/P569,date of birth,36149
http://www.wikidata.org/prop/direct/P31,instance of,35711
http://www.wikidata.org/prop/direct/P21,sex or gender,35311
http://www.wikidata.org/prop/direct/P735,given name,33894
http://www.wikidata.org/prop/direct/P27,country of citizenship,31842
http://www.wikidata.org/prop/direct/P69,educated at,28883
http://www.wikidata.org/prop/direct/P39,position held,27534
http://www.wikidata.org/prop/direct/P19,place of birth,23676
http://www.wikidata.org/prop/direct/P734,family name,22895
http://www.wikidata.org/prop/direct/P570,date of death,22412
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",15973
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,15712
http://www.wikidata.org/prop/direct/P646,Freebase ID,14084
http://www.wikidata.org/prop/direct/P2671,Google Knowledge Graph ID,12613
http://www.wikidata.org/prop/direct/P18,image,11639
http://www.wikidata.org/prop/direct/P20,place of death,11115
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,10086
http://www.wikidata.org/prop/direct/P166,award received,9930
http://www.wikidata.org/prop/direct/P3368,Prabook ID,9812
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,9770
http://www.wikidata.org/prop/direct/P213,ISNI,9344
http://www.wikidata.org/prop/direct/P102,member of political party,9264
http://www.wikidata.org/prop/direct/P227,GND ID,8303
http://www.wikidata.org/prop/direct/P373,Commons category,7476
http://www.wikidata.org/prop/direct/P937,work location,6229
http://www.wikidata.org/prop/direct/P108,employer,6057
http://www.wikidata.org/prop/direct/P1559,name in native language,5580
http://www.wikidata.org/prop/direct/P1343,described by source,4748
http://www.wikidata.org/prop/direct/P8445,Our Campaigns candidate ID,4045
http://www.wikidata.org/prop/direct/P4789,Who's Who UK ID,3947
http://www.wikidata.org/prop/direct/P8462,Political Graveyard politician ID,3922
http://www.wikidata.org/prop/direct/P101,field of work,3759
http://www.wikidata.org/prop/direct/P12000,Biographical Directory of Federal Judges numeric ID,3725
http://www.wikidata.org/prop/direct/P463,member of,3710
http://www.wikidata.org/prop/direct/P2736,Biographical Directory of Federal Judges alpha ID,3684
http://www.wikidata.org/prop/direct/P40,child,3640
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,3614
http://www.wikidata.org/prop/direct/P535,Find a Grave memorial ID,3605
http://www.wikidata.org/prop/direct/P269,IdRef ID,3553
http://www.wikidata.org/prop/direct/P2163,FAST ID,3429
http://www.wikidata.org/prop/direct/P10632,OpenSanctions ID,3407
http://www.wikidata.org/prop/direct/P119,place of burial,3293
http://www.wikidata.org/prop/direct/P2600,Geni.com profile ID,3288
http://www.wikidata.org/prop/direct/P8189,J9U ID,3280
http://www.wikidata.org/prop/direct/P13049,DDB person (GND) ID,3134
http://www.wikidata.org/prop/direct/P2949,WikiTree person ID,3040
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,3035
http://www.wikidata.org/prop/direct/P7902,Deutsche Biographie (GND) ID,2728
http://www.wikidata.org/prop/direct/P3430,SNAC ARK ID,2687
http://www.wikidata.org/prop/direct/P22,father,2254
http://www.wikidata.org/prop/direct/P691,NL CR AUT ID,2200
http://www.wikidata.org/prop/direct/P648,Open Library ID,2114
http://www.wikidata.org/prop/direct/P512,academic degree,2046
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,1673
http://www.wikidata.org/prop/direct/P9964,Kalliope-Verbund (GND) ID,1608
http://www.wikidata.org/prop/direct/P26,spouse,1600
http://www.wikidata.org/prop/direct/P1157,US Congress Bio ID,1580
http://www.wikidata.org/prop/direct/P3373,sibling,1495
http://www.wikidata.org/prop/direct/P11500,United States House of Representatives ID,1407
http://www.wikidata.org/prop/direct/P607,participated in conflict,1360
http://www.wikidata.org/prop/direct/P7293,National Library of Poland MMS ID,1360
http://www.wikidata.org/prop/direct/P103,native language,1348
http://www.wikidata.org/prop/direct/P3987,SHARE Catalogue author ID,1323
http://www.wikidata.org/prop/direct/P241,military branch,1140
http://www.wikidata.org/prop/direct/P140,religion or worldview,1068
http://www.wikidata.org/prop/direct/P551,residence,972
http://www.wikidata.org/prop/direct/P3602,candidacy in election,940
http://www.wikidata.org/prop/direct/P25,mother,937
http://www.wikidata.org/prop/direct/P1871,CERL Thesaurus ID,928
http://www.wikidata.org/prop/direct/P12458,Parsifal cluster ID,904
http://www.wikidata.org/prop/direct/P509,cause of death,895
http://www.wikidata.org/prop/direct/P10553,IxTheo authority ID,893
http://www.wikidata.org/prop/direct/P1263,Notable Names Database ID,852
http://www.wikidata.org/prop/direct/P1315,NLA Trove people ID,840
http://www.wikidata.org/prop/direct/P271,NACSIS-CAT author ID,831
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,831
http://www.wikidata.org/prop/direct/P11496,CiNii Research ID,830
http://www.wikidata.org/prop/direct/P3065,RERO ID (legacy),812
http://www.wikidata.org/prop/direct/P2390,Ballotpedia ID,811
http://www.wikidata.org/prop/direct/P1015,NORAF ID,804
http://www.wikidata.org/prop/direct/P109,signature,801
http://www.wikidata.org/prop/direct/P1196,manner of death,775
http://www.wikidata.org/prop/direct/P1280,CONOR.SI ID,775
http://www.wikidata.org/prop/direct/P8168,FactGrid item ID,767
http://www.wikidata.org/prop/direct/P1889,different from,750
http://www.wikidata.org/prop/direct/P4638,The Peerage person ID,749
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,706
http://www.wikidata.org/prop/direct/P1477,birth name,703
http://www.wikidata.org/prop/direct/P1344,participant in,699
http://www.wikidata.org/prop/direct/P1442,image of grave,696
http://www.wikidata.org/prop/direct/P6886,writing language,689
http://www.wikidata.org/prop/direct/P6640,JRC Names ID,677
http://www.wikidata.org/prop/direct/P1814,name in kana,574
http://www.wikidata.org/prop/direct/P11249,KBR person ID,531
http://www.wikidata.org/prop/direct/P1415,Oxford Dictionary of National Biography ID,525
http://www.wikidata.org/prop/direct/P973,described at URL,517
http://www.wikidata.org/prop/direct/P349,NDL Authority ID,512
http://www.wikidata.org/prop/direct/P511,honorific prefix,509
http://www.wikidata.org/prop/direct/P1816,National Portrait Gallery (London) person ID,493
http://www.wikidata.org/prop/direct/P793,significant event,490
http://www.wikidata.org/prop/direct/P396,SBN author ID,487
http://www.wikidata.org/prop/direct/P410,military or police rank,472
http://www.wikidata.org/prop/direct/P949,National Library of Israel ID (old),446
http://www.wikidata.org/prop/direct/P409,Libraries Australia ID,429
http://www.wikidata.org/prop/direct/P1038,relative,427
http://www.wikidata.org/prop/direct/P4823,American National Biography ID,423
http://www.wikidata.org/prop/direct/P950,National Library of Spain SpMaBN ID (BNE v1.0),417
http://www.wikidata.org/prop/direct/P1368,National Library of Latvia ID,415
http://www.wikidata.org/prop/direct/P1225,U.S. National Archives Identifier,410
http://www.wikidata.org/prop/direct/P9918,Kallías ID,404
http://www.wikidata.org/prop/direct/P8179,Canadiana Name Authority ID,403
http://www.wikidata.org/prop/direct/P1971,number of children,394
http://www.wikidata.org/prop/direct/P8034,Vatican Library VcBA ID,377
http://www.wikidata.org/prop/direct/P2015,Hansard (1803–2005) ID,375
http://www.wikidata.org/prop/direct/P10660,C-SPAN person numeric ID,370
http://www.wikidata.org/prop/direct/P2190,C-SPAN person string ID (deprecated),364
http://www.wikidata.org/prop/direct/P12363,clerked for,352
http://www.wikidata.org/prop/direct/P2298,NSDAP membership number (1925–1945),350
http://www.wikidata.org/prop/direct/P97,noble title,348
http://www.wikidata.org/prop/direct/P485,archives at,346
http://www.wikidata.org/prop/direct/P5587,Libris-URI,346
http://www.wikidata.org/prop/direct/P641,sport,333
http://www.wikidata.org/prop/direct/P1417,Encyclopædia Britannica Online ID,333
http://www.wikidata.org/prop/direct/P906,SELIBR ID,326
http://www.wikidata.org/prop/direct/P3029,UK National Archives ID,318
http://www.wikidata.org/prop/direct/P8017,generational suffix,313
http://www.wikidata.org/prop/direct/P2171,TheyWorkForYou ID,310
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,293
http://www.wikidata.org/prop/direct/P902,HDS ID,290
http://www.wikidata.org/prop/direct/P1695,NLP ID (old),290
http://www.wikidata.org/prop/direct/P1950,second family name in Spanish name,280
http://www.wikidata.org/prop/direct/P5739,Pontificia Università della Santa Croce ID,277
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,272
http://www.wikidata.org/prop/direct/P4997,National Governors Association biography URL,269
http://www.wikidata.org/prop/direct/P8902,Archives at Yale agent ID,267
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,266
http://www.wikidata.org/prop/direct/P701,Dodis ID,264
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,260
http://www.wikidata.org/prop/direct/P2889,FamilySearch person ID,253
http://www.wikidata.org/prop/direct/P9159,People Australia ID,251
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,248
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,247
http://www.wikidata.org/prop/direct/P3762,openMLOL author ID,244
http://www.wikidata.org/prop/direct/P1907,Australian Dictionary of Biography ID,241
http://www.wikidata.org/prop/direct/P3973,PIM authority ID,241
http://www.wikidata.org/prop/direct/P345,IMDb ID,240
http://www.wikidata.org/prop/direct/P4471,Rush Parliamentary Archive ID,240
http://www.wikidata.org/prop/direct/P8172,Sejm-Wielki.pl profile ID,234
http://www.wikidata.org/prop/direct/P1741,GTAA ID,231
http://www.wikidata.org/prop/direct/P856,official website,228
http://www.wikidata.org/prop/direct/P3342,significant person,226
http://www.wikidata.org/prop/direct/P5297,Companies House officer ID,222
http://www.wikidata.org/prop/direct/P12582,Oxford Reference overview ID,221
http://www.wikidata.org/prop/direct/P10849,Beamish peerage database person ID,220
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),215
